No.,Time,Source,Destination,Protocol,Length,Info,RTT
698,183.420894247,10.42.0.250,54.253.71.217,TLSv1.2,433,Application Data,0.350899722
716,186.392265593,10.42.0.250,54.253.71.217,TLSv1.2,433,Application Data,0.748535256
727,188.863560223,10.42.0.250,54.253.71.217,TLSv1.2,433,Application Data,0.174739667
734,191.923190141,10.42.0.250,54.253.71.217,TLSv1.2,433,Application Data,0.246007211
742,195.203170827,10.42.0.250,54.253.71.217,TLSv1.2,433,Application Data,0.385857068
750,197.884569577,10.42.0.250,54.253.71.217,TLSv1.2,433,Application Data,0.196777956
759,200.733818895,10.42.0.250,54.253.71.217,TLSv1.2,433,Application Data,0.177914541
766,203.394932066,10.42.0.250,54.253.71.217,TLSv1.2,433,Application Data,0.174035293
779,206.057681449,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.525228627
786,209.327146500,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.241037715
797,212.197843373,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.174800243
807,215.067796893,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.181030049
824,217.747928343,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.175647572
838,220.412427421,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.177665910
847,223.902475090,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.268070242
864,226.949267296,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.215641462
872,229.610136456,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.173856156
882,232.281021668,10.42.0.250,54.253.71.217,TLSv1.2,494,Application Data,0.173707966
891,234.941718670,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.172286201
901,238.002366166,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.278892591
909,241.483482806,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.325109209
918,244.554308994,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.281518655
932,247.647993045,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.609707626
939,250.388612648,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.176429509
947,253.360753419,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.361781534
955,256.432617773,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.456512467
964,259.105275331,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.173484120
975,261.776753427,10.42.0.250,54.253.71.217,TLSv1.2,544,Application Data,0.173700724
985,264.528244188,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.173017256
997,267.490493275,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.358646630
1008,270.561808697,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.256542863
1019,273.246803286,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.173136784
1031,276.004299509,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.172334541
1039,278.755941839,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.176303956
1048,281.727096014,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.272159111
1055,284.698628442,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.283987893
1069,287.362778318,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.218114958
1077,290.021904521,10.42.0.250,54.253.71.217,TLSv1.2,606,Application Data,0.174514430
1086,292.903229166,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.222493664
1093,295.584749871,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.175296056
1102,298.825909156,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.337624144
1109,302.007110581,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.175308743
1118,304.568664388,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.175618494
1133,307.241239912,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.220899977
1153,309.892400461,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.172833069
1171,313.063256194,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.390392943
1180,316.035848045,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.334969095
1191,318.697338757,10.42.0.250,54.253.71.217,TLSv1.2,656,Application Data,0.172562358
1199,321.968650750,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.354365633
1207,325.040713168,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.291108529
1220,327.723458478,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.218653345
1227,330.365844753,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.172175391
1235,333.038904643,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.173115814
1248,335.800824064,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.173562990
1258,338.562456781,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.173386588
1265,341.263849638,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.334862719
1273,344.095437485,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.366897900
1285,346.858319035,10.42.0.250,54.253.71.217,TLSv1.2,719,Application Data,0.217015097
1294,349.622261067,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.175687136
1303,352.302174957,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.176732845
1333,354.943424134,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.173607644
1341,358.015412793,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.261974297
1356,361.088688075,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.459852863
1369,363.758466800,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.276656781
1383,366.621956763,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.401894368
1391,369.893743285,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.174367325
