"No.","Time","Source","Destination","Protocol","Length","Info","RTT"
"198","44.504372168","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=3006 Ack=5097 Win=5368 Len=0","0.143014261"
"199","44.635861885","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5637 Ack=2588 Win=30660 Len=0","0.173525963"
"200","46.475709615","10.42.0.250","13.211.139.52","TCP","259","53522  >  3000 [PSH, ACK] Seq=3006 Ack=5097 Win=5368 Len=205 [TCP segment of a reassembled PDU]",""
"201","46.659461981","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=5097 Ack=3211 Win=59517 Len=0","0.183752366"
"202","46.697738953","10.42.0.250","13.211.139.52","HTTP/JSON","121","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"203","46.873561625","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=5097 Ack=3278 Win=59450 Len=0","0.175822672"
"204","46.921543156","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"205","46.941334699","10.42.0.250","54.253.71.217","TLSv1.2","163","Application Data",""
"206","47.006863645","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=3278 Ack=5489 Win=4976 Len=0","0.085320489"
"207","47.116792949","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5637 Ack=2697 Win=30660 Len=0","0.175458250"
"208","48.953892353","10.42.0.250","54.253.71.217","TLSv1.2","85","Application Data",""
"209","48.955628176","10.42.0.250","13.211.139.52","TCP","259","53522  >  3000 [PSH, ACK] Seq=3278 Ack=5489 Win=4976 Len=205 [TCP segment of a reassembled PDU]",""
"210","49.127768157","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5637 Ack=2728 Win=30660 Len=0","0.173875804"
"211","49.127812261","54.253.71.217","10.42.0.250","TLSv1.2","85","Application Data",""
"212","49.127821424","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=5489 Ack=3483 Win=59245 Len=0","0.172193248"
"213","49.156548684","10.42.0.250","13.211.139.52","HTTP/JSON","121","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"214","49.255749640","10.42.0.250","54.253.71.217","TCP","54","53521  >  8883 [ACK] Seq=2728 Ack=5668 Win=5217 Len=0","0.127937379"
"215","49.329011494","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=5489 Ack=3550 Win=59178 Len=0","0.172462810"
"216","49.361425281","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"217","49.381854061","10.42.0.250","54.253.71.217","TLSv1.2","163","Application Data",""
"218","49.506538254","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=3550 Ack=5881 Win=4584 Len=0","0.145112973"
"219","49.595230973","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5668 Ack=2837 Win=30660 Len=0","0.213376912"
"220","51.394912143","10.42.0.250","13.211.139.52","TCP","259","53522  >  3000 [PSH, ACK] Seq=3550 Ack=5881 Win=4584 Len=205 [TCP segment of a reassembled PDU]",""
"221","51.612877964","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=5881 Ack=3755 Win=58973 Len=0","0.217965821"
"222","51.819601420","10.42.0.250","13.211.139.52","HTTP/JSON","121","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"223","51.994548493","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=5881 Ack=3822 Win=58906 Len=0","0.174947073"
"224","52.022179489","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"225","52.037879706","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=3822 Ack=6273 Win=5760 Len=0","0.015700217"
"226","52.051762125","10.42.0.250","54.253.71.217","TLSv1.2","163","Application Data",""
"227","52.226324071","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5668 Ack=2946 Win=30660 Len=0","0.174561946"
"228","54.071800517","10.42.0.250","13.211.139.52","TCP","259","53522  >  3000 [PSH, ACK] Seq=3822 Ack=6273 Win=5760 Len=205 [TCP segment of a reassembled PDU]",""
"229","54.288758876","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=6273 Ack=4027 Win=58701 Len=0","0.216958359"
"230","54.376426747","10.42.0.250","13.211.139.52","HTTP/JSON","121","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"231","54.565487051","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=6273 Ack=4094 Win=58634 Len=0","0.189060304"
"232","54.581387276","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"233","54.830247998","10.42.0.250","54.253.71.217","TLSv1.2","163","Application Data",""
"234","55.007870324","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=4094 Ack=6665 Win=5368 Len=0","0.426483048"
"235","55.045189162","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5668 Ack=3055 Win=30660 Len=0","0.214941164"
"236","56.823892464","10.42.0.250","13.211.139.52","TCP","259","53522  >  3000 [PSH, ACK] Seq=4094 Ack=6665 Win=5368 Len=205 [TCP segment of a reassembled PDU]",""
"237","57.402107886","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=6665 Ack=4299 Win=58429 Len=0","0.578215422"
"238","57.756735114","10.42.0.250","13.211.139.52","HTTP/JSON","121","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"239","58.012795220","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=6665 Ack=4366 Win=58362 Len=0","0.256060106"
"240","58.283960198","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"241","58.387671782","10.42.0.250","54.253.71.217","TLSv1.2","163","Application Data",""
"242","58.508788216","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=4366 Ack=7057 Win=4976 Len=0","0.224828018"
"243","58.719173029","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5668 Ack=3164 Win=30660 Len=0","0.331501247"
"244","60.402882740","10.42.0.250","13.211.139.52","TCP","259","53522  >  3000 [PSH, ACK] Seq=4366 Ack=7057 Win=4976 Len=205 [TCP segment of a reassembled PDU]",""
"245","60.882274763","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=7057 Ack=4571 Win=58157 Len=0","0.479392023"
"246","61.550733356","10.42.0.250","13.211.139.52","HTTP/JSON","121","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"247","61.880028238","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=7057 Ack=4638 Win=58090 Len=0","0.329294882"
"248","61.880420126","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"249","62.087288215","10.42.0.250","54.253.71.217","TLSv1.2","163","Application Data",""
"250","62.259099263","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5668 Ack=3273 Win=30660 Len=0","0.171811048"
"251","62.267009865","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=4638 Ack=7449 Win=4584 Len=0","0.386589739"
"252","64.101894124","10.42.0.250","13.211.139.52","TCP","260","53522  >  3000 [PSH, ACK] Seq=4638 Ack=7449 Win=4584 Len=206 [TCP segment of a reassembled PDU]",""
"253","64.315663785","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=7449 Ack=4844 Win=57884 Len=0","0.213769661"
"254","64.633396272","10.42.0.250","13.211.139.52","HTTP/JSON","171","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"255","64.805409541","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=7449 Ack=4961 Win=57767 Len=0","0.172013269"
"256","64.839962425","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"257","64.931026385","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=4961 Ack=7841 Win=5760 Len=0","0.091063960"
"258","64.945562530","10.42.0.250","54.253.71.217","TLSv1.2","214","Application Data",""
"259","65.116967046","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5668 Ack=3433 Win=32412 Len=0","0.171404516"
"260","65.655125545","08:d1:f9:ca:10:98","Broadcast","ARP","42","ARP Announcement for 10.42.0.250",""
"261","65.655152150","08:d1:f9:ca:10:98","Broadcast","ARP","42","ARP Announcement for 10.42.0.250",""
"262","66.972368858","10.42.0.250","54.253.71.217","TLSv1.2","85","Application Data",""
"263","66.972369256","10.42.0.250","13.211.139.52","TCP","260","53522  >  3000 [PSH, ACK] Seq=4961 Ack=7841 Win=5760 Len=206 [TCP segment of a reassembled PDU]",""
"264","67.145530309","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5668 Ack=3464 Win=32412 Len=0","0.173161451"
"265","67.145558026","54.253.71.217","10.42.0.250","TLSv1.2","85","Application Data",""
"266","67.187807725","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=7841 Ack=5167 Win=57561 Len=0","0.215438469"
"267","67.189588300","10.42.0.250","13.211.139.52","HTTP/JSON","171","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"268","67.260896478","10.42.0.250","54.253.71.217","TCP","54","53521  >  8883 [ACK] Seq=3464 Ack=5699 Win=5186 Len=0","0.115338452"
"269","67.364528451","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=7841 Ack=5284 Win=57444 Len=0","0.174940151"
"270","67.396130214","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"271","67.415105516","10.42.0.250","54.253.71.217","TLSv1.2","214","Application Data",""
"272","67.511867384","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=5284 Ack=8233 Win=5368 Len=0","0.115737170"
"273","67.629047410","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5699 Ack=3624 Win=34164 Len=0","0.213941894"
"274","69.439277279","10.42.0.250","13.211.139.52","TCP","260","53522  >  3000 [PSH, ACK] Seq=5284 Ack=8233 Win=5368 Len=206 [TCP segment of a reassembled PDU]",""
"275","69.660940930","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=8233 Ack=5490 Win=57238 Len=0","0.221663651"
"276","69.840687670","10.42.0.250","13.211.139.52","HTTP/JSON","171","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"277","70.014111784","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=8233 Ack=5607 Win=57121 Len=0","0.173424114"
"278","70.040028949","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"279","70.065122211","10.42.0.250","54.253.71.217","TLSv1.2","214","Application Data",""
"280","70.237296353","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5699 Ack=3784 Win=35916 Len=0","0.172174142"
"281","70.262845542","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=5607 Ack=8625 Win=4976 Len=0","0.222816593"
"282","72.093633608","10.42.0.250","13.211.139.52","TCP","260","53522  >  3000 [PSH, ACK] Seq=5607 Ack=8625 Win=4976 Len=206 [TCP segment of a reassembled PDU]",""
"283","72.400841945","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=8625 Ack=5813 Win=56915 Len=0","0.307208337"
"284","72.503255925","10.42.0.250","13.211.139.52","HTTP/JSON","171","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"285","72.840933814","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=8625 Ack=5930 Win=56798 Len=0","0.337677889"
"286","72.840946346","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"287","72.933665353","10.42.0.250","54.253.71.217","TLSv1.2","214","Application Data",""
"288","73.023802629","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=5930 Ack=9017 Win=4584 Len=0","0.182856283"
"289","73.286874040","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5699 Ack=3944 Win=37668 Len=0","0.353208687"
"290","74.957708307","10.42.0.250","13.211.139.52","TCP","260","53522  >  3000 [PSH, ACK] Seq=5930 Ack=9017 Win=4584 Len=206 [TCP segment of a reassembled PDU]",""
"291","74.986912364","CloudNet_33:44:15","08:d1:f9:ca:10:98","ARP","42","Who has 10.42.0.250? Tell 10.42.0.1",""
"292","74.988503439","08:d1:f9:ca:10:98","CloudNet_33:44:15","ARP","42","10.42.0.250 is at 08:d1:f9:ca:10:98",""
"293","75.425703015","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=9017 Ack=6136 Win=56592 Len=0","0.467994708"
"294","75.572754885","10.42.0.250","13.211.139.52","HTTP/JSON","171","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"295","75.880823524","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=9017 Ack=6253 Win=56475 Len=0","0.308068639"
"296","75.880844106","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"297","76.198630900","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=6253 Ack=9409 Win=5760 Len=0","0.317786794"
"298","76.211778785","10.42.0.250","54.253.71.217","TLSv1.2","214","Application Data",""
"299","76.547503239","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5699 Ack=4104 Win=39420 Len=0","0.335724454"
"300","78.236049543","10.42.0.250","13.211.139.52","TCP","260","53522  >  3000 [PSH, ACK] Seq=6253 Ack=9409 Win=5760 Len=206 [TCP segment of a reassembled PDU]",""
"301","78.452340212","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=9409 Ack=6459 Win=56475 Len=0","0.216290669"
"302","78.644667197","10.42.0.250","13.211.139.52","HTTP/JSON","171","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"303","78.818203759","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=9409 Ack=6576 Win=56475 Len=0","0.173536562"
"304","78.864687490","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"305","78.883966541","10.42.0.250","54.253.71.217","TLSv1.2","214","Application Data",""
"306","79.017478781","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=6576 Ack=9801 Win=5368 Len=0","0.152791291"
"307","79.057392074","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5699 Ack=4264 Win=41172 Len=0","0.173425533"
"308","80.904800739","10.42.0.250","13.211.139.52","TCP","260","53522  >  3000 [PSH, ACK] Seq=6576 Ack=9801 Win=5368 Len=206 [TCP segment of a reassembled PDU]",""
"309","80.932926305","10.42.0.1","224.0.0.251","MDNS","79","Standard query 0x068b PTR _arduino._tcp.local, ""QM"" question",""
"310","80.933121039","fe80::4c26:ee57:f446:ad99","ff02::fb","MDNS","99","Standard query 0x068b PTR _arduino._tcp.local, ""QM"" question",""
"311","81.076659502","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=9801 Ack=6782 Win=56475 Len=0","0.171858763"
"312","81.105422480","10.42.0.250","13.211.139.52","HTTP/JSON","171","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"313","81.351167058","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=9801 Ack=6899 Win=56475 Len=0","0.245744578"
"314","81.351193666","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"315","81.352186484","10.42.0.1","224.0.0.251","MDNS","106","Standard query 0x8bad PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"316","81.352289755","fe80::4c26:ee57:f446:ad99","ff02::fb","MDNS","126","Standard query 0x8bad PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"317","81.352362047","10.42.0.1","224.0.0.251","MDNS","106","Standard query 0x1fe3 PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"318","81.352424607","fe80::4c26:ee57:f446:ad99","ff02::fb","MDNS","126","Standard query 0x1fe3 PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"319","81.514984049","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=6899 Ack=10193 Win=4976 Len=0","0.163790383"
"320","81.530198002","10.42.0.250","54.253.71.217","TLSv1.2","214","Application Data",""
"321","81.704602318","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5699 Ack=4424 Win=42924 Len=0","0.174404316"
"322","82.422275549","10.42.0.1","224.0.0.251","MDNS","106","Standard query 0x3797 PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"323","82.422354867","fe80::4c26:ee57:f446:ad99","ff02::fb","MDNS","126","Standard query 0x3797 PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"324","82.422411963","10.42.0.1","224.0.0.251","MDNS","106","Standard query 0xcc17 PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"325","82.422438214","fe80::4c26:ee57:f446:ad99","ff02::fb","MDNS","126","Standard query 0xcc17 PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"326","83.553716846","10.42.0.250","13.211.139.52","TCP","260","53522  >  3000 [PSH, ACK] Seq=6899 Ack=10193 Win=4976 Len=206 [TCP segment of a reassembled PDU]",""
"327","83.771362492","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=10193 Ack=7105 Win=56475 Len=0","0.217645646"
"328","83.870560951","10.42.0.250","13.211.139.52","HTTP/JSON","171","POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",""
"329","84.044476938","13.211.139.52","10.42.0.250","TCP","54","3000  >  53522 [ACK] Seq=10193 Ack=7222 Win=56475 Len=0","0.173915987"
"330","84.080417535","13.211.139.52","10.42.0.250","HTTP/JSON","446","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)",""
"331","84.201033300","10.42.0.250","54.253.71.217","TLSv1.2","214","Application Data",""
"332","84.266438551","10.42.0.250","13.211.139.52","TCP","54","53522  >  3000 [ACK] Seq=7222 Ack=10585 Win=4584 Len=0","0.186021016"
"333","84.373823596","54.253.71.217","10.42.0.250","TCP","54","8883  >  53521 [ACK] Seq=5699 Ack=4584 Win=44676 Len=0","0.172790296"
"334","84.864159502","10.42.0.1","224.0.0.251","MDNS","106","Standard query 0x431f PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
"335","84.864239769","fe80::4c26:ee57:f446:ad99","ff02::fb","MDNS","126","Standard query 0x431f PTR Sahar's MacBook Air._companion-link._tcp.local, ""QM"" question",""
